Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4081766,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4082043,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4082202,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4082479,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4117865,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4127887,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4137835,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4147852,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4181783,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4181944,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4182220,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4182496,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4217964,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4227985,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4238051,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4247957,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4281710,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4281995,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4282154,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4282429,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4318139,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4328053,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4338009,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4348030,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4381657,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4381944,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4382220,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4382495,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4418145,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4428165,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4438225,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4448357,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
